id,name,price,category,stock
1,Ноутбук ASUS VivoBook 15,45990.0,Электроника,12
2,Смартфон Samsung Galaxy A54,28990.0,Электроника,25
3,Наушники Sony WH-1000XM4,24990.0,Электроника,18
4,Кофемашина DeLonghi Magnifica,37990.0,Бытовая техника,8
5,Холодильник Bosch Serie 4,65990.0,Бытовая техника,5
6,Футболка мужская хлопковая,1490.0,Одежда,45
7,Джинсы женские slim fit,3490.0,Одежда,32
8,Кроссовки Nike Air Max,8990.0,Обувь,20
9,Рюкзак городской Deuter,4590.0,Аксессуары,15
10,Книга 'Мастер и Маргарита',590.0,Книги,38
11,Настольная игра 'Монополия',2490.0,Игры,22
12,Велосипед горный Stels,18990.0,Спорт,6
13,Гантели наборные 20 кг,3490.0,Спорт,14
14,Кофе в зернах Lavazza,890.0,Продукты,50
15,Чай зеленый Ahmad,450.0,Продукты,42
16,Мыло жидкое Nivea,290.0,Косметика,60
17,Шампунь Head & Shoulders,390.0,Косметика,48
18,Набор посуды Tefal,12990.0,Дом,9
19,Постельное белье 1.5 спальное,2490.0,Дом,17
20,Стул офисный кожаный,8990.0,Мебель,7
